# Source: 10.2833/105297 4.1.1
date,industry,transports,residential,commercial,total
1995-01-01,750.5,843.2,520.5,176.8,5387
1996-01-01,741.1,870.2,567.9,194.1,5500
1997-01-01,732.6,881.3,533.7,180.2,5403
1998-01-01,697.6,909.3,519.6,181.7,5364
1999-01-01,679.4,928.0,507.2,182.6,5264
2000-01-01,686.1,924.0,492.2,175.3,5278
2001-01-01,668.6,937.0,526.2,188.3,5334
2002-01-01,648.8,948.4,505.2,178.6,5286
2003-01-01,654.2,957.3,518.8,180.3,5374
2004-01-01,646.1,976.6,511.2,185.5,5382
2005-01-01,635.9,975.9,505.9,186.4,5351
2006-01-01,628.3,983.4,496.0,192.5,5344
2007-01-01,631.3,992.8,443.4,171.0,5301
2008-01-01,604.5,968.2,475.0,188.1,5184
2009-01-01,501.3,940.7,463.1,180.2,4804
2010-01-01,536.1,935.0,499.0,188.9,4909
2011-01-01,518.7,922.8,427.4,167.9,4755
2012-01-01,497.1,893.4,446.5,166.4,4690
2013-01-01,487.9,886.3,449.7,168.3,4596
2014-01-01,479.7,894.1,378.9,149.0,4427
2015-01-01,483.9,910.8,400.0,156.3,4460
2016-01-01,474.3,931.5,414.9,160.2,4441
