# Source: US Monthly Energy Review, November 2018
# Unit: million of tons
date,residential,commercial,industrial,transport
# 1973-01-01,907,609,1884,1315
# 1975-01-01,867,583,1680,1292
# 1980-01-01,911,662,1776,1400
# 1985-01-01,909,704,1558,1421
# 1990-01-01,963,793,1695,1588
1995-01-01,1039,851,1752,1679
1996-01-01,1099,883,1804,1724
1997-01-01,1090,926,1824,1742
1998-01-01,1097,947,1811,1779
1999-01-01,1122,960,1780,1826
2000-01-01,1185,1022,1787,1870
2001-01-01,1171,1027,1712,1849
2002-01-01,1203,1026,1684,1890
2003-01-01,1232,1037,1694,1891
2004-01-01,1227,1053,1732,1957
2005-01-01,1261,1069,1677,1984
2006-01-01,1191,1043,1664,2012
2007-01-01,1241,1078,1666,2018
2008-01-01,1234,1075,1608,1893
2009-01-01,1157,1007,1400,1829
2010-01-01,1210,1025,1508,1846
2011-01-01,1149,990,1498,1815
2012-01-01,1043,932,1489,1779
2013-01-01,1100,958,1508,1805
2014-01-01,1115,970,1511,1823
2015-01-01,1037,932,1456,1848
2016-01-01,982,894,1426,1885
# 2017-01-01,948,868,1426,1901
